prompt,esperada,ollama_f1,ollama_bleu,chatgpt_f1,chatgpt_bleu,notebooklm_f1,notebooklm_bleu
¿Qué principios regulan el procedimiento administrativo en el Perú?,"El procedimiento administrativo en el Perú se encuentra regulado por una serie de principios establecidos en el TUO de la Ley N.º 27444, entre los que destacan: legalidad, debido procedimiento, impulso de oficio, razonabilidad, imparcialidad, informalismo, presunción de veracidad, buena fe procedimental, celeridad, eficacia, verdad material, participación, simplicidad, uniformidad, predictibilidad, control posterior, ejercicio legítimo del poder, responsabilidad y acceso permanente. Estos principios orientan e informan todas las etapas del procedimiento administrativo.",0.2099,0.1092,0.5212,0.5729,0.2647,0.0
¿Qué obligaciones tienen los padres de familia según el reglamento interno de la I.E.I. 411?,"Los padres de familia tienen la responsabilidad de colaborar activamente en el proceso de enseñanza-aprendizaje de sus hijos, mantener horarios estables para actividades básicas como higiene, alimentación, juego y descanso, así como crear un ambiente adecuado para el desarrollo de las sesiones de la estrategia 'Aprendo en Casa'. Además, deben mantener comunicación constante con los docentes, acompañar a sus hijos en las actividades escolares, y resolver los desacuerdos de forma armoniosa, fomentando el desarrollo de hábitos de lectura y valores.",0.1752,0.0413,0.3247,0.1323,0.3616,0.2333
¿Qué derechos tienen los administrados en un procedimiento administrativo?,"Los administrados tienen derecho a ser tratados con respeto, a la igualdad ante la administración pública y a participar activamente en el procedimiento. Además, pueden ser notificados oportunamente, acceder al expediente administrativo, presentar pruebas, alegatos y recursos, ser asistidos por la autoridad competente y obtener decisiones motivadas dentro de plazos razonables. Estos derechos están reconocidos por el principio del debido procedimiento establecido en la Ley del Procedimiento Administrativo General.",0.2047,0.0,0.3404,0.1757,0.3882,0.1109
¿Qué prácticas están prohibidas a los docentes en la institución educativa según el reglamento?,"El reglamento interno de la I.E.I. 411 establece la prohibición expresa a los docentes de ejercer cualquier forma de maltrato físico, psicológico o trato humillante hacia los estudiantes. También se prohíbe establecer relaciones sentimentales o hacer insinuaciones de contenido sexual, usar información personal de los estudiantes para establecer contacto directo, ofrecer obsequios que confundan la relación educativa, tomar o publicar fotografías sin consentimiento, y someter a los estudiantes a tareas inadecuadas para su edad o fuera del contexto escolar.",0.1875,0.0,0.3129,0.0,0.3663,0.121
¿Qué establece el Manual del Empleado sobre la confidencialidad de la información?,"El Manual del Empleado de Ideas y Proyectos Promocionales dispone que todos los empleados deben guardar confidencialidad sobre la información interna de la empresa y de sus clientes, tanto durante la relación laboral como después de su finalización. Está prohibido sustraer, divulgar o compartir documentos, datos, procesos o cualquier otro tipo de información clasificada, salvo autorización expresa o necesidad funcional. La violación de esta norma constituye falta grave y puede dar lugar a sanciones disciplinarias, incluido el despido.",0.2466,0.0547,0.0741,0.0,0.3,0.1399
¿Qué debe contener una solicitud válida en un procedimiento administrativo?,"Toda solicitud válida dirigida a una entidad administrativa debe contener, según el TUO de la Ley 27444, los siguientes elementos: nombres y apellidos del administrado, número de DNI o carné de extranjería, expresión concreta de lo solicitado, fundamentos de hecho y de derecho, lugar y fecha, firma o huella digital, identificación de la autoridad a la que se dirige, dirección de notificación, relación de documentos anexos y, en su caso, el número del expediente si ya fue iniciado. La omisión de alguno de estos elementos puede ser subsanada, conforme al principio de informalismo.",0.2192,0.0,0.3353,0.1076,0.4215,0.228
¿Qué derechos tienen los estudiantes según el reglamento interno de la I.E.I. 411?,"De acuerdo con el reglamento interno de la I.E.I. 411, los estudiantes tienen derecho a recibir una formación integral basada en valores, en un ambiente limpio, seguro, adecuado, sin discriminación de ningún tipo y con personal capacitado y comprometido. Además, tienen derecho a ser evaluados conforme a las normas del MINEDU, a participar en actividades escolares y culturales, a ser orientados ante problemas personales o académicos, a contar con un tutor, a conocer las normas del colegio y ejercer su defensa ante situaciones de conflicto.",0.1697,0.0,0.3312,0.1077,0.3978,0.2574
¿Qué obligaciones tienen los empleados respecto al uso de sustancias controladas según el Manual del Empleado?,"El Manual del Empleado prohíbe terminantemente presentarse al trabajo bajo la influencia de sustancias controladas o bebidas alcohólicas, así como el consumo, posesión, distribución o venta de dichas sustancias dentro o fuera del centro de trabajo. Los empleados deben notificar al Gerente si están bajo tratamiento médico que implique el uso de estas sustancias. En caso de sospecha razonable, la empresa puede remitir al empleado a un programa de rehabilitación, y el incumplimiento o abandono del mismo constituye causa justificada para el despido.",0.2564,0.0632,0.0885,0.0,0.3261,0.1361
¿Qué tipos de silencio administrativo existen en la legislación peruana?,"La legislación peruana contempla dos tipos de silencio administrativo: el positivo y el negativo. El silencio positivo se produce cuando la administración no responde dentro del plazo legal y se entiende que la solicitud del administrado ha sido aprobada. En cambio, el silencio negativo implica que la falta de respuesta equivale al rechazo tácito de la solicitud, habilitando al administrado a interponer recursos administrativos o judiciales. Ambos mecanismos buscan proteger el derecho de petición y la predictibilidad del procedimiento.",0.2139,0.0703,0.3478,0.089,0.2679,0.0969
¿Qué acciones disciplinarias contempla el Manual del Empleado ante faltas graves?,"El Manual del Empleado establece un procedimiento disciplinario que puede ir desde la amonestación verbal, pasando por amonestaciones escritas, suspensión sin goce de sueldo por hasta cuatro días, y el despido en casos graves o reincidencia. La empresa se reserva el derecho de aplicar directamente sanciones más severas sin agotar los pasos previos, en caso de conductas que atenten contra la moral, integridad, imagen institucional o seguridad de otros empleados. Estas medidas buscan garantizar un entorno laboral ordenado, respetuoso y profesional.",0.2295,0.0153,0.1081,0.0,0.3164,0.1455
